Content,Video title,Video publish time,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
mq08r141XjY,[LIVE] ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - PLAYOFF DAY 3,"Mar 28, 2023",5223,5.02,387,0:05:52,37.8902
Jc9FEP-sZVA,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS NET. | ESPORTS TRANS7,"Dec 24, 2022",9781,2.29,380,0:09:59,63.2644
rFpuOeb0EVs,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS B4 | ESPORTS TRANS7,"Dec 30, 2022",7024,4.09,369,0:03:39,22.5285
IEK4FrkAbso,[LIVE] FUN MATCH MOBILE LEGENDS - MOLA TV VS T7 ESPORT | ESPORTS TRANS7,"Jan 13, 2023",3946,3.95,365,0:06:52,41.8055
ZRWBIApoiZs,[LIVE] FUN MATCH MOBILE LEGENDS - TVONE VS T7 ESPORT | ESPORTS TRANS7,"Feb 9, 2023",4243,6.65,356,0:06:29,38.5084
iAtB2qrkMUs,[LIVE] ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - SEMIFINAL LOWER BRACKET,"Apr 10, 2023",6583,4.12,345,0:07:14,41.6655
xWVixxUbuSo,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS TIGER WONG | ESPORTS TRANS7,"Mar 11, 2023",4664,4.07,344,0:05:26,31.2112
1LhfcTe3AmA,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - ROROHEIHEI,"Apr 15, 2023",11038,2.69,324,0:00:39,3.5722
U11yyUBIqj4,[LIVE] FUN MATCH MOBILE LEGENDS - MEDCOM.ID VS T7 ESPORT | ESPORTS TRANS7,"Jan 17, 2023",6469,3.14,320,0:05:25,28.8211
z__j0KZM7C4,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS WARKOP | ESPORTS TRANS7,"Dec 27, 2022",21014,0.98,315,0:05:37,29.5592
Ess3OOLGlUU,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS MEDCOM.ID | ESPORTS TRANS7,"Jan 20, 2023",3929,5.24,312,0:07:28,38.8635
0ojxKZ5o_u4,[LIVE] FUN MATCH MOBILE LEGENDS - TRANSVISION VS MOLA TV | ESPORTS TRANS7,"Mar 11, 2023",7372,2.86,308,0:07:44,39.7143
JqBowtaiyy8,[LIVE] FUN MATCH MOBILE LEGENDS - ROROHEIHEI VS KINGS GAHANA | ESPORTS TRANS7,"Mar 14, 2023",5832,3.46,303,0:06:52,34.6367
yufCH_5-2EY,[LIVE] FUN MATCH MOBILE LEGENDS - CXO MEDIA VS T7 ESPORT | ESPORTS TRANS7,"Jan 12, 2023",2940,4.35,297,0:08:01,39.7611
B2dVkozL738,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS SENSEI.COMPANY | ESPORTS TRANS7,"Dec 31, 2022",5225,3.85,292,0:04:43,22.9815
WC_VKjdkwYE,ESPORT7 MEDIA TOURNAMENT - GRAND FINAL - DETIKCOM YORU VS NTMC 2 - GAME 3,"Mar 4, 2023",4238,5.99,289,0:01:22,6.584
dxQTZEQCQo8,[LIVE] FUN MATCH MOBILE LEGENDS - CXO MEDIA VS TRANSTV | ESPORTS TRANS7,"Jan 14, 2023",6051,2.88,283,0:07:38,36.076
xVuNbnDXl3c,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - OCTAGRAMA #mobilelegends #ramadan #esport7official,"Apr 13, 2023",644,4.97,280,0:00:15,1.2095
hfuFOtMoGxA,[LIVE] FUN MATCH MOBILE LEGENDS - TOJOS GAMING VS T7 ESPORT | ESPORTS TRANS7,"Jan 12, 2023",4354,4.23,274,0:03:41,16.8586
B-WrRFxZu_s,[LIVE] FUN MATCH MOBILE LEGENDS - ANTV VS T7 ESPORT | ESPORTS TRANS7,"Jan 19, 2023",3300,5.3,267,0:08:47,39.1292
Mr0EaUE5rsA,[LIVE] FUN MATCH MOBILE LEGENDS - INDIHOME TV VS ESPORT7 | ESPORTS TRANS7,"May 9, 2023",4108,4.48,263,0:09:12,40.3333
VwJ9Vk4XU3I,[LIVE] FUN MATCH MOBILE LEGENDS - FIRST DISCOVERY VS T7 ESPORT | ESPORTS TRANS7,"Feb 2, 2023",4613,4.18,261,0:05:54,25.6898
n2CXS5LTfqk,FUN MATCH MOBILE LEGENDS  - T7 ESPORT VS CNN.COM | PART 1 | ESPORTS TRANS7,"Dec 31, 2022",10907,1.77,261,0:01:19,5.7986
0xDHHVfXr6s,[LIVE] FUN MATCH MOBILE LEGENDS - CXO MEDIA VS DETIKCOM | ESPORTS TRANS7,"Jan 13, 2023",3781,4.39,253,0:05:55,24.9876
NBHcXgny-dY,[LIVE] FUN MATCH MOBILE LEGENDS - SENSEI COMPANY VS DETIK.COM | ESPORTS TRANS7,"Jan 10, 2023",4871,3.31,253,0:05:16,22.2767
aMcDbGzvIf4,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS RS PREMIER JATINEGARA | ESPORTS TRANS7,"Jan 5, 2023",3361,4.7,248,0:07:02,29.1186
gpQ4WFwENUc,ESPORT7 ARENA SERIES SPECIAL RAMADAN - FREE FIRE,"Mar 24, 2023",4948,3.64,248,0:02:39,11.0085
LsGxcP5Ii9M,ESPORT7 ARENA SERIES SPECIAL RAMADAN - FREE FIRE,"Mar 24, 2023",3390,5.9,246,0:02:07,8.7171
EQuzqUN2rlw,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS PANASONIC | ESPORTS TRANS7,"Dec 27, 2022",2603,4.23,239,0:05:43,22.7906
amETo0zbuZg,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS DOC | ESPORTS TRANS7,"Nov 30, 2022",2901,4.31,235,0:06:00,23.5456
ZTqx8f_BKqI,[LIVE] FUN MATCH MOBILE LEGENDS - ROAMERNYA JAGO VS BETKLIK ESPORTS | ESPORTS TRANS7,"Mar 15, 2023",4385,3.9,232,0:03:04,11.9163
9z-oG3ljvtk,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORTS VS WARBEH ESPORT | ESPORTS TRANS7,"Dec 22, 2022",2595,4.47,230,0:04:27,17.0735
Q4GgOr4eeJQ,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS MABES | ESPORTS TRANS7,"Jan 5, 2023",3388,3.9,229,0:05:18,20.2378
v--7401w-TY,ESPORT7 MEDIA TOURNAMENT - CNN IND TV 1 VS INEWS TV - GAME 1,"Feb 24, 2023",4331,3.28,221,0:01:27,5.389
vWzZFrutc7g,[LIVE] FUN MATCH MOBILE LEGENDS - SENSEI.COMPANY VS SAKARUHUN | ESPORTS TRANS7,"Feb 11, 2023",3666,3.98,196,0:04:36,15.0708
Y8Y_FDhgg7Y,[LIVE] FUN MATCH MOBILE LEGENDS - KUMPARAN VS T7 ESPORT | ESPORTS TRANS7,"Mar 7, 2023",2804,4.53,175,0:05:12,15.1793
4a6vyepnDxM,ESPORT7 MEDIA TOURNAMENT - TVRI NASIONAL VS DETIKOM YORU - GAME 1,"Feb 21, 2023",3889,3.6,171,0:01:45,4.9885
0ZnAnqUxV_s,[LIVE] FUN MATCH MOBILE LEGENDS | ESPORTS TRANS7,"Dec 8, 2022",3821,3.17,164,0:04:06,11.2482
NnqMsz4Qv7s,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS KAI WISATA | ESPORTS TRANS7,"Jan 4, 2023",2701,3.63,164,0:08:30,23.2752
J48OAk-hjZ8,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS TIGER WONG ENTERTAINMENT | ESPORTS TRANS7,"Dec 29, 2022",8909,1.16,161,0:08:44,23.4529
kZBL5DK4cYc,ESPORT7 MEDIA TOURNAMENT - KOMPAS TV VS NTMC 2 - GAME 1,"Feb 23, 2023",6717,2.04,154,0:01:15,3.2084
DKesyLJGDUE,ESPORT7 MEDIA TOURNAMENT - DETIKOM GOGO VS MOLA LEGENDS - GAME 1,"Feb 22, 2023",4977,2.73,152,0:01:19,3.3553
dQKE63Gsghc,[LIVE] FUN MATCH PUBG MOBILE - T7 ESPORT VS PUBLIC | ESPORTS TRANS7,"Jan 14, 2023",1786,4.03,126,0:01:47,3.7642
C5qmZOH5LrM,[LIVE] FUN MATCH MOBILE LEGENDS | ESPORTS TRANS7,"Dec 1, 2022",5086,1.59,124,0:05:37,11.6365
hg7ucGEOFZc,ESPORT7 MEDIA TOURNAMENT - CNN IND TV 1 VS INEWS TV - GAME 2,"Feb 24, 2023",4351,2.3,120,0:01:45,3.5092
9zQ_t9PDdU0,ESPORT7 MEDIA TOURNAMENT - TVRI NASIONAL VS DETIKOM YORU - GAME 2,"Feb 21, 2023",2724,3.63,117,0:01:58,3.8517
dRDd5abZYrQ,TURNAMEN ESPORT MOBILE LEGENDS HARI PERS NASIONAL 2023  #mobilelegends #haripersnasional #esport7,"Feb 7, 2023",2739,2.45,116,0:00:19,0.6141
2TqbeSvxhrM,ESPORT7 MEDIA TOURNAMENT - GRAND FINAL - DETIKCOM YORU VS NTMC 2 - GAME 1,"Mar 4, 2023",5145,2,115,0:02:13,4.2551
tBJauG9BWYw,ESPORT7 MEDIA TOURNAMENT - UPPER BRACKET SEMI FINAL - DETIKCOM YORU VS MOLA LEGENDS - GAME 2,"Feb 27, 2023",2612,3.1,95,0:01:16,2.0227
uQhcI9SxK_Y,TURNAMEN ESPORT MOBILE LEGENDS RAMADAN CUP 2023 #mobilelegends #ramadhan #esport7official,"Mar 15, 2023",3278,1.25,95,0:00:22,0.6055
 -AJIm0_vluI,FUN MATCH MOBILE LEGENDS ESPORT7,"May 19, 2023",2586,2.82,89,0:00:21,0.5215
wTMFxZjSfdI,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - DETIKCOM YORU,"Apr 14, 2023",6478,1.11,79,0:00:50,1.1022
kuis3xGe7z8,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - OCTAGRAMA,"Apr 13, 2023",5266,1.06,77,0:01:02,1.3352
L9EqG8RK-MM,NGABUBURIT BARENG TRANS7 | MOBILE LEGENDS,"Apr 4, 2022",426,14.32,72,0:01:21,1.6205
ONwLjzYuJyc,ESPORT7 MEDIA TOURNAMENT - GRAND FINAL - DETIKCOM YORU VS NTMC 2 - GAME 2,"Mar 4, 2023",3561,1.74,71,0:01:50,2.1785
6t0Nm8o6L64,ESPORTS7 RAMADAN WAR ARENA | PLAYOFFS HARI 2,"Apr 30, 2022",1285,4.59,69,0:02:06,2.4258
ykl8sS5V7Qw,[LIVE] FUN MATCH MAGIC CHESS MOBILE LEGENDS | ESPORTS TRANS7,"Jan 11, 2023",1467,2.04,68,0:02:39,3.0201
